application_id,company,role,job_location,geo_region,seniority,role_type,salary_min,salary_max,salary_currency,jd_authorship,stakeholder_orientation,autonomy_level,greenfield_vs_fix,velocity_vs_rigour,domain_risk,collaboration_width,data_team_maturity,urgency,language_gate_type,language_gate_languages,interview_stages,has_dbt,has_spark,has_python,has_sql,has_airflow,has_dagster,has_prefect,has_snowflake,has_databricks,has_bigquery,has_redshift,has_duckdb,has_kafka,has_terraform,has_looker,has_tableau,has_power_bi,has_great_expectations,has_soda
2026-04-08_lego_senior-analytics-engineer,The LEGO Group,Senior Analytics Engineer,"Billund, Denmark or Boston, Massachusetts, United States",nordics,senior,analytics_engineering_bi,107885,161827,USD,hiring_manager,commercial,strategic,mixed,rigour,moderate,8,mid,urgent,none,,,False,False,True,True,False,,,False,True,,,,False,False,False,False,False,,
2026-04-08_riverty_data-engineering-lead,Riverty,Data Engineering Lead,"Berlin, Verl, Baden-Baden or Oslo (hybrid)",berlin,lead,team_lead,,,,hiring_manager,internal_data,strategic,fix_scale,rigour,high,9,mature,urgent,none,,,True,True,True,True,True,,,False,True,,,,False,False,False,False,False,,
2026-04-08_tem_staff-analytics-engineer,tem,Staff Analytics Engineer,United Kingdom (Remote),global_remote,staff,analytics_engineering_bi,100500,100500,GBP,hiring_manager,internal_data,strategic,greenfield,mixed,high,4,early,urgent,none,,4,True,False,False,True,False,,,False,False,,,,False,False,True,False,False,,
2026-04-09_ai-futures_data-team-lead,AI Futures,Data Team Lead,Stuttgart Region (Hybrid),other_europe,lead,team_lead,,130000,EUR,mixed,internal_data,strategic,greenfield,velocity,high,2,early,urgent,hard,German,,False,True,True,True,False,,,False,False,,,,True,False,False,False,True,,
2026-04-09_lovable_analytics-engineer-finance,Lovable,Analytics Engineer - Finance,"Stockholm, Sweden",nordics,mid,analytics_engineering_bi,,,,mixed,finance,execution,greenfield,rigour,high,1,early,urgent,none,,,True,False,False,True,False,,,True,True,,,,False,False,True,True,True,,
2026-04-09_nkg_sustainability-data-analyst,Neumann Kaffee Gruppe (NKG),Sustainability Data Analyst (f/m/d),"Hamburg, Germany (Telecommute)",hamburg,mid,other,,,,recruiter,internal_data,execution,greenfield,rigour,high,2,early,standard,soft,"German, Spanish, Portuguese",,False,True,True,True,False,,,False,False,,,,False,False,False,False,True,,
2026-04-10_decathlon_senior-data-analyst-analytics-engineer,Decathlon Digital FR,Senior Data Analyst & Analytics Engineer - Franchise (H/F),"Lille - Btwin Village, Nord, France",other_europe,senior,analytics_engineering_bi,,,,mixed,commercial,execution,greenfield,mixed,moderate,4,early,standard,hard,"English, French",,True,False,False,True,False,,,False,True,,,,False,False,False,True,False,,
2026-04-22_about-you_senior-data-engineer,ABOUT YOU,(Senior) Data Engineer - Finance Tech,"Hamburg/Berlin, Germany",berlin,senior,data_engineering,60000,85000,EUR,hiring_manager,internal_data,strategic,mixed,mixed,high,3,mid,standard,none,,,True,False,True,True,False,,,False,False,,,,False,True,False,False,False,,
2026-04-22_distribusion_analytics-engineer,Distribusion,Analytics Engineer,"Hybrid, preferably Berlin, Germany",berlin,mid,analytics_engineering_bi,,,,recruiter,internal_data,execution,mixed,mixed,high,3,early,urgent,none,,,False,False,True,True,True,,,False,False,,,,True,False,True,False,False,,
2026-04-22_leasingmarkt_principal-analytics-engineer,LeasingMarkt.de (AutoScout24 Group),Principal Analytics Engineer (m/f/d),"Berlin, Germany",berlin,lead,analytics_engineering_bi,,,,hiring_manager,internal_data,strategic,greenfield,rigour,moderate,4,mid,standard,none,,,False,True,True,True,True,,,False,False,,,,False,False,False,False,False,,
